N=194124, N_branch=500, dt_b=-0.0001, dt_f=0.0001, rtol=1e-9
T_min=0, T_max_b=-6.283185307179586, T_max_f=12.566370614359172, ZOOM=False
Features: normalized position and unit tangent blocks.
Perigee: first noninitial geocentric minimum outside lunar SOI within each interval, before any detected surface entry.
Frame: geocentric inertial axes coincident with synodic axes at t=0.
STD: ddof=0; w statistics use offsets from the cluster circular mean (angle_origin_deg).
angle_resultant: 1=concentrated directions; 0=no defined mean direction. Broad angular clouds require caution with linearized moments.
NaN: missing event, undefined parameter/statistic, or missing representative parameter.

K=10, STD=0.01603226725
n = trajectories per cluster; conditions overlap.
n = 1: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 10: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 100: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)

K=10, phase=backward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
1 33467 11708 11708 0 -1.287065863 8.974661292 -11.55183847 18.12215549 29.67399396 -19.25824985 26.03650694 45.29475678 0.7142395052 25.44431473 33.35866618 190.8579686 0.987805353
2 52405 8936 8936 0 1.663453227 8.929617155 -22.27637759 11.04777842 33.32415601 -36.35815739 14.1584782 50.51663559 -2.360764735 26.4567658 40.53854559 203.4134237 0.9880858965
3 156649 34130 0 34130 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 40474 10599 10599 0 -1.416104606 6.897251439 -7.454373152 12.12260495 19.5769781 -35.32526039 14.53667005 49.86193044 -0.72183244 14.5287658 33.33371065 202.3090524 0.9928149693
5 138247 28418 0 28418 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 32694 5549 5549 0 -3.099786485 9.857803681 -9.930703576 17.26709371 27.19779729 -32.30365403 18.12259216 50.42624619 0.05816642919 21.93346547 27.94941716 199.2173624 0.985320448
7 16324 15123 15123 0 -0.3902189054 4.728414529 -6.071531156 6.238906636 12.31043779 -20.31353047 29.24349652 49.55702699 1.794147047 7.630779355 30.61544092 187.4858557 0.996613843
8 57507 14674 14674 0 -0.2186224093 5.222961586 -7.436892715 8.707311682 16.1442044 -28.71657293 16.73815653 45.45472946 0.05923880685 10.99784936 26.58612048 199.5907664 0.9958567466
9 221423 8940 0 8940 nan nan nan nan nan nan nan nan nan nan nan nan nan

K=10, phase=forward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 56044 3 194018.5851 193048.2932 188159.2093 405028.0257 216868.8164 187998.576 5805939.396 5617940.82 8.422726413 216176.3744 5617087.744 nan nan
1 33467 11708 11705 3 218431.2722 11897.9503 200544.03 229036.3763 28492.34628 189501.6338 574894.6302 385392.9964 8.217269875 20085.05536 354372.6936 nan nan
2 52405 8936 7420 1516 200235.1358 297528.5577 189199.3886 226754.5556 37555.16703 188847.325 18789119.65 18600272.33 39.47764771 35377.36653 18597742.47 nan nan
3 156649 34130 34129 1 208935.4551 670462.817 189246.7578 263595.202 74348.44419 188203.6546 76282242.54 76094038.88 62.63742769 56115.01418 76074762.35 nan nan
4 40474 10599 10597 2 211084.1936 268618.3593 190270.465 790928.443 600657.978 188375.5304 7565177.716 7376802.185 8.037524074 579921.2576 7354170.53 nan nan
5 138247 28418 28418 0 199415.3395 276211.9307 188804.4598 209827.4127 21022.95297 188334.9515 7484171.573 7295836.621 14.19267785 11331.82221 7285675.982 nan nan
6 32694 5549 5548 1 214568.2453 342027.8243 201223.5875 733056.7496 531833.1622 189478.0538 8837569.013 8648090.959 9.942955224 523244.4806 8627756.744 nan nan
7 16324 15123 15122 1 205324.5659 8693.49965 196747.1085 219849.7399 23102.63142 190385.976 541344.5833 350958.6074 5.340268382 12943.60959 334407.085 nan nan
8 57507 14674 14669 5 199243.7595 67421.78164 188793.6368 253021.7037 64228.06694 188390.3736 7296020.845 7107630.472 80.12539526 57507.82142 7100506.963 nan nan
9 221423 8940 8940 0 213702.0601 362622.8956 189141.8302 890600.5664 701458.7362 188291.556 16453922.65 16265631.1 18.27706089 677336.7935 16240658.88 nan nan

K=10, phase=forward, parameter=e [-]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 56044 3 0.9195634237 0.2221468227 0.2650320779 0.9991658815 0.7341338036 3.774545329e-05 1 0.9999622545 -2.032892587 0.7140965146 0.979090847 nan nan
1 33467 11708 11705 3 0.3797907383 0.08820079696 0.2924388124 0.5187969957 0.2263581833 0.09405040396 0.9999353848 0.9058849809 1.10076918 0.1564723863 0.6366532532 nan nan
2 52405 8936 7420 1516 0.8611318484 0.1617869233 0.6102432587 0.9980832781 0.3878400194 0.09315892252 0.9999999998 0.9068410773 -1.817358638 0.3540811821 0.8711655182 nan nan
3 156649 34130 34129 1 0.7480909494 0.2234307884 0.211495662 0.9962364324 0.7847407704 0.0007192626071 0.9999999976 0.9992807349 -1.131349113 0.5550494161 0.7658258154 nan nan
4 40474 10599 10597 2 0.7001310389 0.1703919726 0.36247646 0.984849485 0.622373025 0.007668268694 0.9999999988 0.9923317301 -1.042392192 0.3458655039 0.7006736952 nan nan
5 138247 28418 28418 0 0.8493750155 0.1161803887 0.7146216759 0.99717476 0.2825530841 0.0001671890931 0.9999999981 0.999832809 -1.759058333 0.1441462398 0.8586007267 nan nan
6 32694 5549 5548 1 0.4576655286 0.2221374316 0.08490880117 0.8576210401 0.7727122389 0.0006053674971 0.9999965192 0.9993911517 -0.08095219741 0.5700518641 0.6543552978 nan nan
7 16324 15123 15122 1 0.4855413951 0.06813267345 0.3688577017 0.5479255892 0.1790678876 0.09062998825 0.9847060068 0.8940760185 -0.07612719261 0.1115166708 0.516987155 nan nan
8 57507 14674 14669 5 0.8545327234 0.1779422707 0.4488783901 0.9976692254 0.5487908353 1.887149263e-05 0.9999999977 0.9999811262 -2.205002457 0.4479259612 0.8967854799 nan nan
9 221423 8940 8940 0 0.6906630588 0.2724769777 0.1779301984 0.9946421948 0.8167119964 0.002519224893 0.9999999862 0.9974807613 -0.4867876121 0.5498760877 0.7252870612 nan nan

K=10, phase=forward, parameter=w [deg]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 147032 56047 56044 3 -5.231953216 84.33618637 -55.34950184 146.8309751 202.180477 -174.212694 149.9215745 324.1342686 0.2371936427 176.9277523 179.9983618 312.4165926 0.1696370644
1 33467 11708 11705 3 -3.712597473 21.06231026 -20.62961365 38.45336035 59.082974 -174.6669835 153.3784098 328.0453933 1.948851191 57.01647686 171.9046265 314.0298991 0.9394124509
2 52405 8936 7420 1516 -8.434064126 50.59037773 -11.74800689 124.3016257 136.0496326 -175.782546 177.9950675 353.7776135 1.739832586 130.4976146 179.8465688 298.279115 0.7267094282
3 156649 34130 34129 1 -15.7743984 65.41237735 -36.95570025 137.2697462 174.2254465 -179.2380685 178.668344 357.9064125 0.8672254938 169.1059137 179.9924003 306.9441162 0.5130095091
4 40474 10599 10597 2 -15.16667848 56.40369967 -19.38420788 124.7255858 144.1097937 -177.6908281 164.8621674 342.5529955 1.11742659 145.0916379 176.9981182 305.250928 0.635113209
5 138247 28418 28418 0 -3.16472287 66.53320801 -175.7281116 34.92625497 210.6543666 -179.999884 179.9985319 359.9984159 -0.9639994309 171.9671959 179.9280019 266.9330324 0.682548376
6 32694 5549 5548 1 -6.088547995 57.75927282 -43.46927086 121.0748431 164.544114 -179.9723752 179.4693529 359.4417281 0.7770419251 160.8905123 169.2122855 333.5922276 0.6099521093
7 16324 15123 15122 1 -1.737835927 13.46456954 -10.76213343 13.90797428 24.67010771 -138.3241799 161.8283498 300.1525297 4.909788784 20.55286453 168.3678617 304.0698707 0.977207132
8 57507 14674 14669 5 -16.29693098 45.52353322 -33.89713301 90.74535534 124.6424884 -144.9180015 162.6703011 307.5883026 0.8175576942 118.1273583 178.6189492 323.1028188 0.7269715397
9 221423 8940 8940 0 11.01927354 66.21541527 -131.4923899 70.25751648 201.7499063 -132.7119679 150.6067284 283.3186963 -0.4277189757 138.5287294 174.9794201 29.35373293 0.4693254221

K=31, STD=0.0119458455
n = trajectories per cluster; conditions overlap.
n = 1: clusters=0/31 (0.00%); trajectories=0/194124 (0.00%)
n < 10: clusters=1/31 (3.23%); trajectories=2/194124 (0.00%)
n < 100: clusters=1/31 (3.23%); trajectories=2/194124 (0.00%)

K=31, phase=backward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 144351 45542 0 45542 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 23974 3846 3846 0 208557.6169 3088.520827 203956.8046 213721.7536 9764.94908 202700.1039 216161.9384 13461.83452 0.1225880907 5499.163918 7039.495533 nan nan
2 19832 1037 1037 0 239369.7516 1678.624472 235652.5578 240829.3112 5176.753317 233258.8286 241125.0718 7866.243139 -0.8454322396 3876.160327 6269.889529 nan nan
3 221195 4355 0 4355 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 57501 12952 12952 0 210619.4008 3793.677147 205200.6523 216649.1124 11448.46016 193076.8534 232771.8916 39695.03821 0.4014491728 6216.978384 21577.24906 nan nan
5 127305 3336 0 3336 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 30062 490 490 0 238954.3822 2776.300575 233536.2585 241018.1269 7481.86845 224743.1195 241085.7226 16342.60309 -1.439826717 5099.010614 13892.14958 nan nan
7 8687 2872 2872 0 212891.4515 5446.166149 204957.5244 222061.7642 17104.23983 202792.8172 230330.5164 27537.69915 0.151889786 9667.901395 17936.65356 nan nan
8 36833 1174 1174 0 216577.0983 9635.510553 201904.5236 231483.8453 29579.3217 201557.3693 235537.6775 33980.30826 0.08258196201 16338.76308 20392.59535 nan nan
9 175498 2918 0 2918 nan nan nan nan nan nan nan nan nan nan nan nan nan
10 23915 4591 4591 0 222642.5517 5381.536223 212549.2935 229554.4372 17005.14366 210266.2303 230946.3375 20680.10726 -0.314558797 9119.802108 11318.57632 nan nan
11 176287 17401 0 17401 nan nan nan nan nan nan nan nan nan nan nan nan nan
12 31321 1223 1223 0 223702.121 5183.587033 215322.1807 231199.2267 15877.04606 212840.8207 236641.2536 23800.43285 -0.02635917565 9548.201596 14990.22844 nan nan
13 156237 2360 0 2360 nan nan nan nan nan nan nan nan nan nan nan nan nan
14 168732 13781 0 13781 nan nan nan nan nan nan nan nan nan nan nan nan nan
15 75748 4847 4847 0 198853.7636 2429.94121 195973.5633 203587.2902 7613.726903 193076.1974 204540.1463 11463.94884 0.3457446528 6503.920491 7456.776588 nan nan
16 35338 1345 1345 0 233867.8187 1915.351609 231921.755 236684.5289 4762.773951 201887.6693 240886.9993 38999.32997 -6.724552058 2868.230666 32379.84019 nan nan
17 49752 4104 4104 0 200440.4608 1667.261454 198211.6396 203732.2338 5520.594139 193167.7014 204535.186 11367.48462 0.2913120917 4227.800347 6342.069315 nan nan
18 125038 14730 0 14730 nan nan nan nan nan nan nan nan nan nan nan nan nan
19 100814 2732 2732 0 214733.6467 7888.402609 205202.7293 229750.5535 24547.8242 202949.7629 234614.083 31664.32013 0.3813524972 13275.00758 18086.05667 nan nan
20 45851 1077 1077 0 206097.8378 4175.914688 201304.2231 213815.7995 12511.57634 193064.5732 217967.8322 24903.25902 0.2936306318 8783.190267 12902.97841 nan nan
21 21401 829 829 0 235455.5751 4892.021591 223940.2207 236395.3764 12455.1557 193730.153 236905.2228 43175.06985 -4.435995569 11525.28865 41735.35631 nan nan
22 66366 884 884 0 231444.1018 4296.942228 223274.8745 236279.4552 13004.58071 209704.2418 237569.9708 27865.72894 -1.133813214 9289.746366 17461.12945 nan nan
23 151127 3687 0 3687 nan nan nan nan nan nan nan nan nan nan nan nan nan
24 68757 1657 1657 0 203450.2485 1184.623247 202072.2656 204421.8751 2349.609542 193052.5207 205285.7742 12233.2535 -4.440379437 1377.054043 10384.65519 nan nan
25 117692 12103 0 12103 nan nan nan nan nan nan nan nan nan nan nan nan nan
26 149482 7320 0 7320 nan nan nan nan nan nan nan nan nan nan nan nan nan
27 167957 2 0 2 nan nan nan nan nan nan nan nan nan nan nan nan nan
28 14985 953 953 0 238388.8539 1473.446586 236245.5473 239807.3235 3561.77619 224569.8184 241117.2713 16547.45292 -2.366606175 2393.194233 13753.09166 nan nan
29 9615 5132 5132 0 221821.3805 4061.214548 215051.5787 227805.0665 12753.48776 213266.0292 236918.5975 23652.56829 -0.02003416341 7780.833641 14251.1226 nan nan
30 45752 14844 14844 0 225630.7595 4834.610941 217989.2129 232986.6954 14997.48246 212913.3141 236341.027 23427.71294 -0.01700962211 10037.25503 13390.24553 nan nan

K=31, phase=backward, parameter=e [-]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 144351 45542 0 45542 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 23974 3846 3846 0 0.4555021211 0.02323863724 0.4162992128 0.4898858043 0.07358659148 0.39744991 0.4992001343 0.1017502243 -0.136655362 0.04128634688 0.05382618298 nan nan
2 19832 1037 1037 0 0.1906705714 0.01853083527 0.1733560655 0.2302701371 0.05691407155 0.1697173735 0.2527365927 0.08301921918 0.7410495991 0.04241944967 0.06488590529 nan nan
3 221195 4355 0 4355 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 57501 12952 12952 0 0.4396326073 0.02901043043 0.3933273369 0.4804003028 0.08707296584 0.2573310192 0.5703110008 0.3129799817 -0.5018821702 0.0470324978 0.1779889548 nan nan
5 127305 3336 0 3336 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 30062 490 490 0 0.1952209031 0.02884023633 0.1709342296 0.2506307519 0.07969652227 0.1700108998 0.3279608511 0.1579499513 1.156921837 0.05301598861 0.1303460878 nan nan
7 8687 2872 2872 0 0.4227778274 0.04176981528 0.351289212 0.4825142347 0.1312250227 0.2809948888 0.4985953263 0.2176004375 -0.1909064917 0.07536761563 0.1456619388 nan nan
8 36833 1174 1174 0 0.3940949602 0.07638554891 0.2704985484 0.5049873179 0.2344887695 0.2316081199 0.5075841067 0.2759759867 -0.1758877665 0.1347375683 0.1736279967 nan nan
9 175498 2918 0 2918 nan nan nan nan nan nan nan nan nan nan nan nan nan
10 23915 4591 4591 0 0.3461438285 0.04343618101 0.2880350021 0.425260604 0.1372256019 0.275559612 0.4426000064 0.1670403944 0.2548099146 0.07385233984 0.08792302762 nan nan
11 176287 17401 0 17401 nan nan nan nan nan nan nan nan nan nan nan nan nan
12 31321 1223 1223 0 0.3371863712 0.04278785857 0.2730502963 0.4039019061 0.1308516097 0.2227071244 0.4229534221 0.2002462977 -0.04495007785 0.08096724414 0.131310416 nan nan
13 156237 2360 0 2360 nan nan nan nan nan nan nan nan nan nan nan nan nan
14 168732 13781 0 13781 nan nan nan nan nan nan nan nan nan nan nan nan nan
15 75748 4847 4847 0 0.5276115461 0.01800525225 0.4925012253 0.5489588063 0.05645758098 0.4852357324 0.570313305 0.0850775726 -0.34928198 0.04821207591 0.05547756879 nan nan
16 35338 1345 1345 0 0.2472403768 0.01743124483 0.2190686848 0.2653357006 0.0462670158 0.1732171762 0.5051342118 0.3319170356 4.493808451 0.02818557114 0.2617703437 nan nan
17 49752 4104 4104 0 0.515918422 0.01235386779 0.4915218681 0.5323980344 0.04087616635 0.4852822681 0.5696656159 0.08438334781 -0.2946896656 0.03143666722 0.04682744836 nan nan
18 125038 14730 0 14730 nan nan nan nan nan nan nan nan nan nan nan nan nan
19 100814 2732 2732 0 0.4082330748 0.06248681432 0.2852470063 0.4803439729 0.1950969666 0.2395769711 0.4970993016 0.2575223305 -0.4587067058 0.108724162 0.1543941973 nan nan
20 45851 1077 1077 0 0.4737089856 0.03137783049 0.415307271 0.5094412041 0.09413393314 0.3827031 0.5704147561 0.1877116561 -0.3118417699 0.06635637758 0.09886224303 nan nan
21 21401 829 829 0 0.2319934464 0.04155591253 0.22226986 0.3347008269 0.1124309669 0.2169988019 0.5654637168 0.3484649149 4.038577923 0.1027224108 0.3334853007 nan nan
22 66366 884 884 0 0.2704130073 0.03818504891 0.2234612115 0.3420464498 0.1185852383 0.2093301456 0.4471993284 0.2378691828 0.9104117564 0.08513869065 0.139628888 nan nan
23 151127 3687 0 3687 nan nan nan nan nan nan nan nan nan nan nan nan nan
24 68757 1657 1657 0 0.4934616734 0.008800964815 0.4862506289 0.5037485119 0.01749788303 0.4796914982 0.5704977882 0.09080628997 4.408485488 0.01025145147 0.07689220556 nan nan
25 117692 12103 0 12103 nan nan nan nan nan nan nan nan nan nan nan nan nan
26 149482 7320 0 7320 nan nan nan nan nan nan nan nan nan nan nan nan nan
27 167957 2 0 2 nan nan nan nan nan nan nan nan nan nan nan nan nan
28 14985 953 953 0 0.2014093301 0.01534215643 0.1849306533 0.223860924 0.03893027077 0.1699124926 0.3294558209 0.1595433282 1.898834365 0.02581485295 0.1274205727 nan nan
29 9615 5132 5132 0 0.3530424153 0.03279370215 0.3033670724 0.4062472483 0.1028801758 0.2198026407 0.4199660774 0.2001634367 -0.04750852004 0.06185663966 0.1264138531 nan nan
30 45752 14844 14844 0 0.3210394187 0.04081278946 0.2561265068 0.3828730599 0.126746553 0.222687985 0.4229543097 0.2002663247 -0.05494943607 0.0870841254 0.1205226473 nan nan

K=31, phase=backward, parameter=w [deg]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 144351 45542 0 45542 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 23974 3846 3846 0 -0.9817711039 5.391762618 -4.582015725 17.3258967 21.90791243 -14.37765939 24.58677954 38.96443893 2.796257463 19.1383027 26.39918554 186.9099013 0.9956078458
2 19832 1037 1037 0 2.944951001 14.23055663 -23.80854253 17.92673327 41.7352758 -26.25958581 20.64518801 46.90477382 -0.3535203826 31.86428381 34.31532709 194.3502242 0.969430667
3 221195 4355 0 4355 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 57501 12952 12952 0 -0.1587859185 5.058199935 -7.409787006 8.455871973 15.86565898 -29.31361123 16.14111824 45.45472946 0.07488223675 10.56995186 27.3619126 200.1878047 0.9961133709
5 127305 3336 0 3336 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 30062 490 490 0 4.711641505 15.14796874 -28.23317005 16.65999372 44.89316377 -32.17542302 17.99774158 50.17316461 -0.622717865 38.26036356 42.20261653 199.133273 0.9654645762
7 8687 2872 2872 0 -1.309032538 5.453513272 -3.078108971 10.66954202 13.74765099 -3.522705696 34.97753056 38.50023625 3.828960276 12.33250987 36.64049841 181.6994675 0.9955335044
8 36833 1174 1174 0 -0.54147583 7.284668069 -4.545033524 16.92826801 21.47330153 -28.37905058 21.33330186 49.71235244 -0.2436839632 21.21743205 26.3899587 195.3792418 0.9920060979
9 175498 2918 0 2918 nan nan nan nan nan nan nan nan nan nan nan nan nan
10 23915 4591 4591 0 -0.1108313922 1.806965167 -2.832308964 3.077504462 5.909813426 -3.794419883 4.830038477 8.62445836 0.1726983623 4.515815666 5.477926584 190.3691646 0.9995027846
11 176287 17401 0 17401 nan nan nan nan nan nan nan nan nan nan nan nan nan
12 31321 1223 1223 0 -1.462769355 9.218947532 -4.816155011 20.11596463 24.93211964 -29.75195245 20.67429374 50.42624619 0.230342066 21.82555108 28.5015929 196.6656608 0.9872220105
13 156237 2360 0 2360 nan nan nan nan nan nan nan nan nan nan nan nan nan
14 168732 13781 0 13781 nan nan nan nan nan nan nan nan nan nan nan nan nan
15 75748 4847 4847 0 -0.5436419745 6.805426547 -9.523172173 11.77708172 21.30025389 -11.26096318 14.29000023 25.55096341 0.2674362474 11.36701235 13.41194155 190.6051998 0.9929621029
16 35338 1345 1345 0 -0.1882477788 4.489264794 -6.080419817 7.988655422 14.06907524 -40.55167277 9.310257671 49.86193044 -2.405219959 8.292071068 40.93660347 207.5354648 0.9969673398
17 49752 4104 4104 0 -0.9787135109 4.98991928 -6.680947957 9.823009219 16.50395718 -15.9572584 13.12437231 29.08163072 0.6164915716 12.71801211 16.01869992 190.7144844 0.9962139737
18 125038 14730 0 14730 nan nan nan nan nan nan nan nan nan nan nan nan nan
19 100814 2732 2732 0 3.058451643 9.996114991 -15.43412817 12.12991041 27.56403857 -37.68667831 12.58236176 50.26904006 -0.4519763364 24.2956312 46.54818134 204.6457247 0.9848523
20 45851 1077 1077 0 -3.122445616 6.467763322 -4.550686728 15.05214622 19.60283295 -22.93490776 19.30694547 42.24185323 1.363842483 19.30105964 23.55585889 194.4113324 0.9936567311
21 21401 829 829 0 -0.7138878318 5.225250076 -6.796738334 11.55609288 18.35283121 -14.85534909 13.56770206 28.42305115 0.9847664841 14.23483859 16.24644777 202.9691562 0.9958521265
22 66366 884 884 0 9.824702012 19.00219808 -37.1753239 11.10341643 48.27874033 -37.40723563 11.32981275 48.73704839 -1.32635418 48.03546027 48.267372 204.4625019 0.9464418504
23 151127 3687 0 3687 nan nan nan nan nan nan nan nan nan nan nan nan nan
24 68757 1657 1657 0 0.0120779257 3.187163215 -3.91516154 4.625999207 8.541160746 -22.46016733 6.752598586 29.21276591 -1.79287637 6.10336977 21.2368351 196.2588986 0.9984581185
25 117692 12103 0 12103 nan nan nan nan nan nan nan nan nan nan nan nan nan
26 149482 7320 0 7320 nan nan nan nan nan nan nan nan nan nan nan nan nan
27 167957 2 0 2 nan nan nan nan nan nan nan nan nan nan nan nan nan
28 14985 953 953 0 2.505741006 8.795568187 -17.3299426 12.31113915 29.64108174 -28.45773273 19.31019566 47.76792839 -0.9572738437 19.31447129 30.44226142 195.8018902 0.988311676
29 9615 5132 5132 0 -0.5172442374 3.81785866 -4.04241599 7.834237431 11.87665342 -18.68009618 30.87693081 49.55702699 2.770305282 8.568159291 31.55355835 185.8524214 0.997796977
30 45752 14844 14844 0 -0.1475469669 5.133789267 -7.103877156 7.455664718 14.55954187 -36.49814464 14.06508437 50.56322901 -0.5897515444 8.3650981 35.89877701 203.5068175 0.9960071847

K=31, phase=forward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 144351 45542 45540 2 193384.2857 89419.20004 188131.7288 364712.439 176580.7102 187998.576 4480813.766 4292815.19 6.936067087 175719.7808 4291821.108 nan nan
1 23974 3846 3846 0 205582.7229 7233.185073 198970.0679 218188.2347 19218.16678 198294.0356 290701.7456 92407.71002 2.538583096 11330.22532 83843.7362 nan nan
2 19832 1037 325 712 201357.0378 1317771.066 188512.786 947274.144 758761.358 188375.8048 18789119.65 18600743.85 10.29722965 nan nan nan nan
3 221195 4355 4355 0 220767.0351 218261.7083 190026.1812 838608.9729 648582.7917 188318.3353 923942.512 735624.1767 1.851487705 632726.8701 718060.4091 nan nan
4 57501 12952 12952 0 198224.086 31407.92372 188761.5622 258571.4015 69809.83932 188390.3736 526976.2772 338585.9036 4.633257616 63244.93526 331649.811 nan nan
5 127305 3336 3336 0 203438.4897 860393.0187 188811.1207 2423082.157 2234271.036 188331.8518 6283699.162 6095367.31 2.043947567 2225633.435 6086250.441 nan nan
6 30062 490 490 0 214278.0128 9864.244429 201006.0706 230272.8664 29266.79585 190129.8758 239637.9267 49508.05089 0.1135542983 16427.86315 27209.65809 nan nan
